2014-12-08T22%3A16%3A15Z 3600 3599 0.041 0.049 304.005
2014-12-08T23%3A16%3A39Z 3600 3599 0.044 0.283 1000.222
2014-12-09T00%3A16%3A56Z 3600 3599 0.042 0.044 300.147
2014-12-09T01%3A17%3A19Z 3600 3599 0.046 1.074 1000.259
2014-12-09T02%3A17%3A38Z 3600 3599 0.043 0.048 1000.227
2014-12-09T03%3A17%3A56Z 3600 3599 0.041 0.239 1000.212
2014-12-09T04%3A18%3A14Z 3600 3599 0.045 1.109 1000.222
2014-12-09T05%3A18%3A33Z 3600 3599 0.044 0.046 1000.225
2014-12-09T06%3A18%3A50Z 3600 3599 0.042 0.047 300.275
2014-12-09T07%3A19%3A08Z 3600 3599 0.042 0.043 3.233
2014-12-09T08%3A19%3A31Z 3600 3599 0.041 0.047 1000.253
2014-12-09T09%3A19%3A49Z 3600 3599 0.041 0.046 295.889
2014-12-09T10%3A20%3A07Z 3600 3595 0.042 0.055 295.996
2014-12-09T11%3A20%3A25Z 3600 3599 0.045 0.174 1000.224
2014-12-09T12%3A20%3A43Z 3600 3599 0.043 0.153 1000.242
2014-12-09T13%3A21%3A00Z 3600 3599 0.046 0.047 295.978
2014-12-09T14%3A21%3A18Z 3600 3599 0.045 0.050 303.936
2014-12-09T15%3A21%3A35Z 3600 3599 0.044 0.265 1000.214
2014-12-09T16%3A21%3A53Z 3600 3599 0.045 0.092 296.039
2014-12-09T22%3A25%3A28Z 3600 3599 0.044 0.152 304.043
2014-12-09T23%3A25%3A46Z 3600 3599 0.043 0.182 1000.159
2014-12-10T00%3A26%3A08Z 3600 3599 0.045 0.045 2.628
2014-12-10T01%3A26%3A26Z 3600 3599 0.045 0.045 0.321
2014-12-10T02%3A26%3A43Z 3600 3599 0.045 0.095 1000.127
2014-12-10T03%3A27%3A00Z 3600 3597 0.046 0.150 296.049
2014-12-10T04%3A27%3A18Z 3600 3599 0.045 0.083 296.008
2014-12-10T05%3A27%3A36Z 3600 3599 0.041 0.147 296.225
2014-12-10T06%3A27%3A54Z 3600 3599 0.041 0.100 295.972
2014-12-10T07%3A28%3A13Z 3600 3599 0.042 0.101 296.006
2014-12-10T08%3A28%3A31Z 3600 3599 0.046 0.079 295.986
2014-12-10T09%3A28%3A48Z 3600 3599 0.042 0.043 0.295
2014-12-10T10%3A29%3A06Z 3600 3599 0.046 0.048 1000.227
2014-12-10T11%3A29%3A23Z 3600 3599 0.046 0.459 1000.224
2014-12-10T12%3A29%3A41Z 3600 3599 0.045 0.958 1000.257
2014-12-10T13%3A29%3A58Z 3600 3599 0.046 0.054 1000.224
2014-12-10T14%3A30%3A16Z 3600 3599 0.045 0.085 1000.241
2014-12-10T15%3A30%3A33Z 3600 3599 0.046 0.048 0.823
2014-12-10T16%3A30%3A51Z 3600 3599 0.042 0.105 1000.227
2014-12-10T17%3A31%3A09Z 3600 3600 0.045 0.918 1000.238
